"","cnsm_id","zip5","user_id","hhincome","dwelling","prkids","home_own_rent","marital_stat","online_dols","match_level","life_stage","age","educ"
"16958","ty37080",11743,16232103,12,"S","Y","O","A","","1","M",42,3
"16959","vx64068",2155,4364072,8,"S","Y","O","S","","3","Y",50,1
"16960","bx86071",60430,8084588,NA,"","","","","","","",NA,NA
"16961","fy24485",7307,12934556,5,"M","","","B","H","1","M",NA,NA
"16962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16963","vy25563",20008,12803003,NA,"","","","","","","Y",NA,NA
"16964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16965","ay37895",2895,17355448,6,"S","","O","","","1","F",24,NA
"16966","ry28407",60647,14030548,4,"M","Y","O","M","G","1","Y",30,2
"16967","gy28047",2127,13925948,NA,"","","","","","","Y",NA,NA
"16968","ey26606",11378,13431198,5,"M","Y","O","M","B","1","F",32,1
"16969","wx69712",20746,6129670,3,"M","N","O","S","E","1","M",68,1
"16970","cy41235",2879,18165076,12,"S","N","O","M","G","1","F",74,1
"16971","ny41205",20024,18141948,3,"M","N","O","S","F","4","M",62,3
"16972","xy29925",21218,14489456,12,"S","N","O","M","E","1","Y",26,3
"16973","ay34157",6812,15414537,NA,"","","","","","","",NA,NA
"16974","xy50985",2186,20160072,NA,"","","","","","","Y",NA,NA
"16975","yy34950",11104,9694172,NA,"","","","","","","Y",NA,NA
"16976","hy48418",7405,18326560,NA,"","","","","","","F",NA,NA
"16977","ty43596",46202,18732849,NA,"","","","","","","Y",NA,NA
"16978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16979","ky28462",7974,14047337,NA,"","","","","","","",NA,NA
"16980","ny29340",2642,14321148,NA,"S","","","B","E","3","Y",28,2
"16981","dx61802",6468,5205076,11,"S","","O","S","G","1","M",64,3
"16982","ay51577",6851,20310488,NA,"","","","","","","Y",NA,NA
"16983","dy49221",12590,19733370,11,"S","N","O","S","E","3","Y",36,NA
"16984","yy48208",6905,19239730,NA,"","","","","","","Y",NA,NA
"16985","yx79532",60614,7302948,NA,"M","","O","M","F","3","Y",28,NA
"16986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16987","qy20937",20816,12308362,12,"M","N","O","A","","2","M",86,NA
"16988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16990","cy25663",2114,12635803,8,"M","N","O","S","D","3","Y",32,2
"16991","yy32563",60622,14895436,7,"M","","","S","D","3","Y",40,3
"16992","xy43175",2043,18547136,NA,"","","","","","","",NA,NA
"16993","vy44492",2351,18828648,NA,"","","","","","","",NA,NA
